% time	cellId	IMSI	RNTI	layer	mcs	size	rv	ndi	ccId
16824	8	1	1	0	28	2196	0	1	0
16825	8	1	1	0	28	2196	0	1	0
16827	8	1	1	0	28	2196	0	1	0
16828	8	1	1	0	28	2196	0	1	0
16830	8	1	1	0	28	2196	0	1	0
16831	8	1	1	0	28	2196	0	1	0
16834	8	1	1	0	28	2196	0	1	0
16835	8	1	1	0	28	2196	0	1	0
16836	8	1	1	0	28	2196	0	1	0
16837	8	1	1	0	28	2196	0	1	0
16839	8	1	1	0	28	2196	0	1	0
16840	8	1	1	0	28	2196	0	1	0
16842	8	1	1	0	28	2196	0	1	0
16843	8	1	1	0	28	2196	0	1	0
16846	8	1	1	0	28	2196	0	1	0
16847	8	1	1	0	28	2196	0	1	0
16848	8	1	1	0	28	2196	0	1	0
16849	8	1	1	0	28	2196	0	1	0
16851	8	1	1	0	28	2196	0	1	0
16852	8	1	1	0	28	2196	0	1	0
16854	8	1	1	0	28	2196	0	1	0
16855	8	1	1	0	28	2196	0	1	0
16858	8	1	1	0	28	2196	0	1	0
16859	8	1	1	0	28	2196	0	1	0
16860	8	1	1	0	28	2196	0	1	0
16861	8	1	1	0	28	2196	0	1	0
16863	8	1	1	0	28	2196	0	1	0
16864	8	1	1	0	28	2196	0	1	0
16866	8	1	1	0	28	2196	0	1	0
16867	8	1	1	0	28	2196	0	1	0
16870	8	1	1	0	28	2196	0	1	0
16871	8	1	1	0	28	2196	0	1	0
16872	8	1	1	0	28	2196	0	1	0
16873	8	1	1	0	28	2196	0	1	0
16875	8	1	1	0	28	2196	0	1	0
16876	8	1	1	0	28	2196	0	1	0
16878	8	1	1	0	28	2196	0	1	0
16879	8	1	1	0	28	2196	0	1	0
16882	8	1	1	0	28	2196	0	1	0
16883	8	1	1	0	28	2196	0	1	0
16884	8	1	1	0	28	2196	0	1	0
16885	8	1	1	0	28	2196	0	1	0
16887	8	1	1	0	28	2196	0	1	0
16888	8	1	1	0	28	2196	0	1	0
16890	8	1	1	0	28	2196	0	1	0
16891	8	1	1	0	28	2196	0	1	0
16894	8	1	1	0	28	2196	0	1	0
16895	8	1	1	0	28	2196	0	1	0
16896	8	1	1	0	28	2196	0	1	0
16897	8	1	1	0	28	2196	0	1	0
16899	8	1	1	0	28	2196	0	1	0
16900	8	1	1	0	28	2196	0	1	0
16902	8	1	1	0	28	2196	0	1	0
16903	8	1	1	0	28	2196	0	1	0
16906	8	1	1	0	28	2196	0	1	0
