% time	cellId	IMSI	frame	sframe	RNTI	mcs	size	ccId
2.035	1	1	204	6	1	2	137	0
2.036	1	1	204	7	1	2	137	0
2.037	1	1	204	8	1	2	137	0
2.038	1	1	204	9	1	2	137	0
2.039	1	1	204	10	1	2	137	0
2.04	1	1	205	1	1	4	225	0
2.041	1	1	205	2	1	6	325	0
2.042	1	1	205	3	1	8	437	0
2.043	1	1	205	4	1	8	437	0
2.044	1	1	205	5	1	6	325	0
2.045	1	1	205	6	1	6	325	0
2.046	1	1	205	7	1	4	225	0
2.047	1	1	205	8	1	4	225	0
2.048	1	1	205	9	1	6	325	0
2.049	1	1	205	10	1	6	325	0
2.05	1	1	206	1	1	8	437	0
2.051	1	1	206	2	1	8	437	0
2.052	1	1	206	3	1	8	437	0
2.053	1	1	206	4	1	6	325	0
2.054	1	1	206	5	1	6	325	0
2.055	1	1	206	6	1	4	225	0
2.056	1	1	206	7	1	4	225	0
2.057	1	1	206	8	1	4	225	0
2.058	1	1	206	9	1	4	225	0
2.059	1	1	206	10	1	4	225	0
2.06	1	1	207	1	1	4	225	0
2.061	1	1	207	2	1	4	225	0
2.062	1	1	207	3	1	4	225	0
2.063	1	1	207	4	1	6	325	0
2.064	1	1	207	5	1	6	325	0
2.065	1	1	207	6	1	6	325	0
2.066	1	1	207	7	1	6	325	0
2.067	1	1	207	8	1	6	325	0
2.068	1	1	207	9	1	6	325	0
2.069	1	1	207	10	1	6	325	0
2.07	1	1	208	1	1	6	325	0
2.071	1	1	208	2	1	6	325	0
2.072	1	1	208	3	1	4	225	0
2.073	1	1	208	4	1	4	225	0
2.074	1	1	208	5	1	4	225	0
2.075	1	1	208	6	1	4	225	0
2.076	1	1	208	7	1	6	325	0
2.077	1	1	208	8	1	6	325	0
2.078	1	1	208	9	1	6	325	0
2.079	1	1	208	10	1	4	225	0
2.08	1	1	209	1	1	4	225	0
2.081	1	1	209	2	1	2	137	0
2.082	1	1	209	3	1	2	137	0
2.083	1	1	209	4	1	2	137	0
2.084	1	1	209	5	1	2	137	0
2.085	1	1	209	6	1	4	225	0
2.086	1	1	209	7	1	4	225	0
2.087	1	1	209	8	1	6	325	0
2.088	1	1	209	9	1	6	325	0
2.089	1	1	209	10	1	4	225	0
2.09	1	1	210	1	1	4	225	0
2.091	1	1	210	2	1	4	225	0
2.092	1	1	210	3	1	6	325	0
2.093	1	1	210	4	1	6	325	0
2.094	1	1	210	5	1	4	225	0
2.095	1	1	210	6	1	4	225	0
2.096	1	1	210	7	1	4	225	0
2.097	1	1	210	8	1	6	325	0
2.098	1	1	210	9	1	6	325	0
2.099	1	1	210	10	1	2	137	0
2.1	1	1	211	1	1	0	85	0
2.101	1	1	211	2	1	4	225	0
2.102	1	1	211	3	1	4	225	0
2.105	1	1	211	6	1	4	225	0
2.106	1	1	211	7	1	4	225	0
2.107	1	1	211	8	1	4	225	0
2.108	1	1	211	9	1	6	325	0
2.109	1	1	211	10	1	10	549	0
2.11	1	1	212	1	1	10	549	0
2.111	1	1	212	2	1	10	549	0
2.112	1	1	212	3	1	14	807	0
