% time	cellId	IMSI	RNTI	sinrLinear	componentCarrierId
5.241	3	1	1	1145.2	0
5.281	3	1	1	732.282	0
5.321	3	1	1	516.806	0
5.361	3	1	1	618.234	0
5.401	3	1	1	2317.23	0
5.441	3	1	1	3506.31	0
5.481	3	1	1	1567.36	0
5.521	3	1	1	1420.66	0
5.561	3	1	1	830.052	0
5.601	3	1	1	2511.38	0
5.641	3	1	1	7569.97	0
5.681	3	1	1	6563.72	0
5.721	3	1	1	1048.56	0
5.761	3	1	1	2077.15	0
5.801	3	1	1	3225.97	0
5.841	3	1	1	1718.41	0
5.881	3	1	1	3337.36	0
5.921	3	1	1	1454.89	0
5.961	3	1	1	487.731	0
6.001	3	1	1	1339.79	0
6.041	3	1	1	3439.69	0
6.081	3	1	1	2709.86	0
6.121	3	1	1	709.484	0
6.161	3	1	1	414.473	0
6.201	3	1	1	386.596	0
6.241	3	1	1	1552.71	0
6.281	3	1	1	3205.23	0
6.321	3	1	1	3237.82	0
6.361	3	1	1	2123.54	0
6.401	3	1	1	675.377	0
6.441	3	1	1	1569.77	0
6.481	3	1	1	4104.71	0
6.521	3	1	1	2606.97	0
6.561	3	1	1	2815.37	0
6.601	3	1	1	370.368	0
6.641	3	1	1	5600.7	0
6.681	3	1	1	6039.63	0
6.721	3	1	1	1695.94	0
6.761	3	1	1	3297.66	0
6.801	3	1	1	1307.08	0
6.841	3	1	1	533.288	0
6.881	3	1	1	1696.06	0
6.921	3	1	1	158.561	0
6.961	3	1	1	782.84	0
7.001	3	1	1	409.26	0
7.041	3	1	1	122.243	0
7.081	3	1	1	374.482	0
7.121	3	1	1	1140.18	0
7.161	3	1	1	1155.29	0
7.201	3	1	1	424.536	0
7.241	3	1	1	193.647	0
7.281	3	1	1	430.166	0
7.321	3	1	1	187.024	0
7.361	3	1	1	371.061	0
7.401	3	1	1	850.654	0
7.441	3	1	1	486.943	0
7.481	3	1	1	831.392	0
7.521	3	1	1	34.3148	0
7.561	3	1	1	438.397	0
7.601	3	1	1	238.05	0
7.641	3	1	1	472.877	0
7.681	4	1	1	2678.58	0
