% time	cellId	IMSI	RNTI	rsrp	sinr	ComponentCarrierId
0.299214	1	1	1	6.92702e-11	147395	0
0.300214	1	1	1	6.99499e-11	148791	0
0.301214	1	1	1	7.06016e-11	150125	0
0.302214	1	1	1	7.12328e-11	151413	0
0.303214	1	1	1	7.18263e-11	152619	0
0.304214	1	1	1	7.24106e-11	153804	0
0.305214	1	1	1	7.29457e-11	154881	0
0.306214	1	1	1	7.34823e-11	155960	0
0.307214	1	1	1	7.39579e-11	156907	0
0.308214	1	1	1	7.4439e-11	157864	0
0.309214	1	1	1	7.48613e-11	158693	0
0.310214	1	1	1	7.52823e-11	159519	0
0.311214	1	1	1	7.56551e-11	160239	0
0.312214	1	1	1	7.60156e-11	160932	0
0.313214	1	1	1	7.6339e-11	161545	0
0.314214	1	1	1	7.66388e-11	162105	0
0.315214	1	1	1	7.69131e-11	162610	0
0.316214	1	1	1	7.71523e-11	163039	0
0.317214	1	1	1	7.7378e-11	163438	0
0.318214	1	1	1	7.75569e-11	163737	0
0.319214	1	1	1	7.77348e-11	164032	0
0.320214	1	1	1	7.785e-11	164193	0
0.321214	1	1	1	7.79737e-11	164372	0
0.322214	1	1	1	7.80324e-11	164412	0
0.323214	1	1	1	7.80985e-11	164466	0
0.324214	1	1	1	7.81123e-11	164410	0
0.325214	1	1	1	7.81224e-11	164345	0
0.326214	1	1	1	7.80931e-11	164196	0
0.327214	1	1	1	7.8049e-11	164015	0
0.328214	1	1	1	7.79785e-11	163779	0
0.329214	1	1	1	7.78823e-11	163488	0
0.330214	1	1	1	7.77724e-11	163168	0
0.331214	1	1	1	7.76261e-11	162771	0
0.332214	1	1	1	7.74787e-11	162373	0
0.333214	1	1	1	7.72845e-11	161876	0
0.334214	1	1	1	7.71017e-11	161403	0
0.335214	1	1	1	7.68617e-11	160811	0
0.336214	1	1	1	7.66364e-11	160250	0
0.337214	1	1	1	7.63616e-11	159586	0
0.338214	1	1	1	7.6092e-11	158934	0
0.339214	1	1	1	7.57811e-11	158197	0
0.340214	1	1	1	7.54666e-11	157453	0
0.341214	1	1	1	7.51279e-11	156659	0
0.342214	1	1	1	7.47756e-11	155838	0
0.343214	1	1	1	7.44112e-11	154994	0
0.344214	1	1	1	7.40235e-11	154102	0
0.345214	1	1	1	7.36354e-11	153212	0
0.346214	1	1	1	7.32145e-11	152254	0
0.347214	1	1	1	7.28044e-11	151321	0
0.348214	1	1	1	7.23523e-11	150303	0
0.349214	1	1	1	7.19181e-11	149323	0
0.350214	1	1	1	7.14401e-11	148255	0
0.351214	1	1	1	7.09767e-11	147219	0
0.352214	1	1	1	7.04805e-11	146117	0
0.353214	1	1	1	6.99891e-11	145028	0
0.354214	1	1	1	6.94756e-11	143894	0
0.355214	1	1	1	6.89573e-11	142754	0
0.356214	1	1	1	6.84271e-11	141591	0
0.357214	1	1	1	6.78794e-11	140394	0
0.358214	1	1	1	6.73274e-11	139191	0
0.359214	1	1	1	6.67527e-11	137943	0
0.360214	1	1	1	6.61852e-11	136713	0
0.361214	1	1	1	6.55867e-11	135422	0
0.362214	1	1	1	6.50044e-11	134166	0
0.363214	1	1	1	6.43827e-11	132831	0
0.364214	1	1	1	6.37774e-11	131533	0
0.365214	1	1	1	6.31409e-11	130174	0
0.366214	1	1	1	6.25126e-11	128833	0
0.367214	1	1	1	6.18617e-11	127448	0
0.368214	1	1	1	6.12102e-11	126065	0
0.369214	1	1	1	6.05446e-11	124655	0
0.370214	1	1	1	5.98699e-11	123229	0
0.371214	1	1	1	5.91891e-11	121791	0
0.372214	1	1	1	5.8491e-11	120321	0
0.373214	1	1	1	5.77943e-11	118856	0
0.374214	1	1	1	5.70726e-11	117342	0
0.375214	1	1	1	5.63595e-11	115847	0
0.376214	1	1	1	5.56119e-11	114283	0
0.377214	1	1	1	5.4876e-11	112745	0
0.378214	1	1	1	5.41086e-11	111144	0
0.379214	1	1	1	5.3349e-11	109560	0
0.380214	1	1	1	5.25653e-11	107929	0
0.381214	1	1	1	5.17821e-11	106300	0
0.382214	1	1	1	5.0982e-11	104637	0
0.383214	1	1	1	5.01752e-11	102962	0
0.384214	1	1	1	4.93585e-11	101268	0
0.385214	1	1	1	4.85286e-11	99547.2	0
0.386214	1	1	1	4.76954e-11	97820.6	0
0.387214	1	1	1	4.68432e-11	96055.7	0
0.388214	1	1	1	4.59938e-11	94297.3	0
0.389214	1	1	1	4.51201e-11	92489.5	0
0.390214	1	1	1	4.42548e-11	90699.6	0
0.391214	1	1	1	4.33617e-11	88852.6	0
0.392214	1	1	1	4.24767e-11	87022.8	0
0.393214	1	1	1	4.1571e-11	85150.6	0
0.394214	1	1	1	4.06677e-11	83283.7	0
0.395214	1	1	1	3.9749e-11	81385.3	0
0.396214	1	1	1	3.88295e-11	79485.3	0
0.397214	1	1	1	3.7903e-11	77571.2	0
0.398214	1	1	1	3.69725e-11	75648.8	0
0.399214	1	1	1	3.60413e-11	73725.1	0
0.400214	1	1	1	3.51039e-11	71788.6	0
0.401214	1	1	1	3.41714e-11	69862.4	0
0.402214	1	1	1	3.32316e-11	67921.2	0
0.403214	1	1	1	3.23019e-11	66000.9	0
0.404214	1	1	1	3.1365e-11	64065.8	0
0.405214	1	1	1	3.04408e-11	62157.3	0
0.406214	1	1	1	2.95144e-11	60244.1	0
0.407214	1	1	1	2.86007e-11	58357.8	0
0.408214	1	1	1	2.76912e-11	56480.4	0
0.409214	1	1	1	2.67947e-11	54630.2	0
0.410214	1	1	1	2.59082e-11	52801.2	0
0.411214	1	1	1	2.5036e-11	51002.4	0
0.412214	1	1	1	2.41789e-11	49235.6	0
0.413214	1	1	1	2.33375e-11	47502.3	0
0.414214	1	1	1	2.25149e-11	45808.8	0
0.415214	1	1	1	2.1713e-11	44159.2	0
0.416214	1	1	1	2.09339e-11	42558	0
0.417214	1	1	1	2.01807e-11	41011.5	0
0.418214	1	1	1	1.9453e-11	39519.5	0
0.419214	1	1	1	1.8757e-11	38094.8	0
0.420214	1	1	1	1.80898e-11	36731.4	0
0.421214	1	1	1	1.7459e-11	35445.4	0
0.422214	1	1	1	1.68615e-11	34230.3	0
0.423214	1	1	1	1.63039e-11	33100.4	0
0.424214	1	1	1	1.57851e-11	32053.2	0
0.425214	1	1	1	1.53089e-11	31096.9	0
0.426214	1	1	1	1.48778e-11	30237.1	0
0.427214	1	1	1	1.4491e-11	29471.9	0
0.428214	1	1	1	1.41565e-11	28818.4	0
0.429214	1	1	1	1.38669e-11	28261.1	0
0.430214	1	1	1	1.36373e-11	27832.2	0
0.431214	1	1	1	1.34524e-11	27499.3	0
0.432214	1	1	1	1.33315e-11	27303.3	0
0.433214	1	1	1	1.32572e-11	27207.5	0
0.434214	1	1	1	1.3253e-11	27261.6	0
0.435214	1	1	1	1.33013e-11	27428.8	0
0.436214	1	1	1	1.34196e-11	27745.9	0
0.437214	1	1	1	1.35974e-11	28190.9	0
0.438214	1	1	1	1.3844e-11	28783.6	0
0.439214	1	1	1	1.41571e-11	29519.2	0
0.440214	1	1	1	1.45373e-11	30398.9	0
0.441214	1	1	1	1.49906e-11	31435.7	0
0.442214	1	1	1	1.55085e-11	32611.8	0
0.443214	1	1	1	1.61058e-11	33958.2	0
0.444214	1	1	1	1.67649e-11	35438.1	0
0.445214	1	1	1	1.75087e-11	37099.7	0
0.446214	1	1	1	1.83128e-11	38892	0
0.447214	1	1	1	1.92027e-11	40868	0
0.448214	1	1	1	2.01552e-11	42979.6	0
0.449214	1	1	1	2.11886e-11	45265.1	0
0.450214	1	1	1	2.2288e-11	47692.9	0
0.451214	1	1	1	2.34618e-11	50281.2	0
0.452214	1	1	1	2.47046e-11	53018.3	0
0.453214	1	1	1	2.60187e-11	55908.8	0
0.454214	1	1	1	2.74024e-11	58949.5	0
0.455214	1	1	1	2.88529e-11	62134.4	0
0.456214	1	1	1	3.03718e-11	65466.4	0
0.457214	1	1	1	3.19537e-11	68934.6	0
0.458214	1	1	1	3.36001e-11	72541.5	0
0.459214	1	1	1	3.53067e-11	76278.9	0
0.460214	1	1	1	3.70713e-11	80140.6	0
0.461214	1	1	1	3.88934e-11	84127	0
0.462214	1	1	1	4.07661e-11	88221.9	0
0.463214	1	1	1	4.26919e-11	92431.9	0
0.464214	1	1	1	4.46621e-11	96737	0
0.465214	1	1	1	4.66781e-11	101141	0
0.466214	1	1	1	4.87336e-11	105631	0
0.467214	1	1	1	5.08246e-11	110197	0
0.468214	1	1	1	5.29521e-11	114841	0
0.469214	1	1	1	5.51007e-11	119531	0
0.470214	1	1	1	5.72843e-11	124297	0
0.471214	1	1	1	5.9473e-11	129072	0
0.472214	1	1	1	6.16985e-11	133928	0
0.473214	1	1	1	6.39084e-11	138749	0
0.474214	1	1	1	6.61536e-11	143647	0
0.475214	1	1	1	6.83702e-11	148481	0
0.476214	1	1	1	7.06103e-11	153367	0
0.477214	1	1	1	7.28197e-11	158186	0
0.478214	1	1	1	7.50334e-11	163014	0
0.479214	1	1	1	7.72172e-11	167777	0
0.480214	1	1	1	7.93825e-11	172499	0
0.481214	1	1	1	8.15217e-11	177165	0
0.482214	1	1	1	8.36164e-11	181733	0
0.483214	1	1	1	8.56919e-11	186260	0
0.484214	1	1	1	8.76935e-11	190627	0
0.485214	1	1	1	8.96861e-11	194974	0
0.486214	1	1	1	9.15725e-11	199090	0
0.487214	1	1	1	9.3461e-11	203210	0
0.488214	1	1	1	9.52239e-11	207058	0
0.489214	1	1	1	9.698e-11	210891	0
0.490214	1	1	1	9.86072e-11	214444	0
0.491214	1	1	1	1.00198e-10	217918	0
0.492214	1	1	1	1.01671e-10	221137	0
0.493214	1	1	1	1.03074e-10	224205	0
0.494214	1	1	1	1.04375e-10	227050	0
0.495214	1	1	1	1.05572e-10	229669	0
0.496214	1	1	1	1.06685e-10	232105	0
0.497214	1	1	1	1.07656e-10	234235	0
0.498214	1	1	1	1.08566e-10	236231	0
0.499214	1	1	1	1.09295e-10	237836	0
0.500214	1	1	1	8.65525e-11	177308	0
0.501214	1	1	1	8.76483e-11	179290	0
0.502214	1	1	1	8.8566e-11	180903	0
0.503214	1	1	1	8.9394e-11	182330	0
0.504214	1	1	1	9.00754e-11	183454	0
0.505214	1	1	1	9.06325e-11	184324	0
0.506214	1	1	1	9.10836e-11	184975	0
0.507214	1	1	1	9.13625e-11	185276	0
0.508214	1	1	1	9.15662e-11	185424	0
0.509214	1	1	1	9.15583e-11	185142	0
0.510214	1	1	1	9.1514e-11	184788	0
0.511214	1	1	1	9.12212e-11	183933	0
0.512214	1	1	1	9.0911e-11	183045	0
0.513214	1	1	1	9.03609e-11	181675	0
0.514214	1	1	1	8.97758e-11	180238	0
0.515214	1	1	1	8.89955e-11	178413	0
0.516214	1	1	1	8.81481e-11	176458	0
0.517214	1	1	1	8.71513e-11	174208	0
0.518214	1	1	1	8.60589e-11	171773	0
0.519214	1	1	1	8.48627e-11	169138	0
0.520214	1	1	1	8.35462e-11	166269	0
0.521214	1	1	1	8.21711e-11	163292	0
0.522214	1	1	1	8.06553e-11	160044	0
0.523214	1	1	1	7.91245e-11	156775	0
0.524214	1	1	1	7.7449e-11	153230	0
0.525214	1	1	1	7.57972e-11	149742	0
0.526214	1	1	1	7.39846e-11	145949	0
0.527214	1	1	1	7.2201e-11	142226	0
0.528214	1	1	1	7.03055e-11	138296	0
0.529214	1	1	1	6.84226e-11	134404	0
0.530214	1	1	1	6.64741e-11	130400	0
0.531214	1	1	1	6.45261e-11	126413	0
0.532214	1	1	1	6.25559e-11	122399	0
0.533214	1	1	1	6.05783e-11	118389	0
0.534214	1	1	1	5.86184e-11	114432	0
0.535214	1	1	1	5.66478e-11	110473	0
0.536214	1	1	1	5.47307e-11	106639	0
0.537214	1	1	1	5.28033e-11	102808	0
0.538214	1	1	1	5.09614e-11	99162.9	0
0.539214	1	1	1	4.91134e-11	95530.7	0
0.540214	1	1	1	4.7368e-11	92119.2	0
0.541214	1	1	1	4.56448e-11	88776.4	0
0.542214	1	1	1	4.40262e-11	85659.2	0
0.543214	1	1	1	4.24658e-11	82680.6	0
0.544214	1	1	1	4.10077e-11	79924.5	0
0.545214	1	1	1	3.96334e-11	77356.7	0
0.546214	1	1	1	3.83625e-11	75014.4	0
0.547214	1	1	1	3.71994e-11	72906.5	0
0.548214	1	1	1	3.61423e-11	71029.7	0
0.549214	1	1	1	3.52128e-11	69424.9	0
