% time	cellId	IMSI	RNTI	txMode	layer	mcs	size	rv	ndi	correct	ccId
2641	1	1	1	0	0	28	2196	0	1	1	0
2642	1	1	1	0	0	28	2196	0	1	1	0
2643	1	1	1	0	0	28	2196	0	1	1	0
2644	1	1	1	0	0	28	2196	0	1	1	0
2645	1	1	1	0	0	28	2196	0	1	1	0
2646	1	1	1	0	0	28	2196	0	1	1	0
2647	1	1	1	0	0	28	2196	0	1	1	0
2648	1	1	1	0	0	28	2196	0	1	1	0
2649	1	1	1	0	0	28	2196	0	1	1	0
2650	1	1	1	0	0	28	2196	0	1	1	0
2651	1	1	1	0	0	28	2196	0	1	1	0
2652	1	1	1	0	0	28	2196	0	1	1	0
2653	1	1	1	0	0	28	2196	0	1	1	0
2655	1	1	1	0	0	28	2196	0	1	1	0
2656	1	1	1	0	0	28	2196	0	1	1	0
2657	1	1	1	0	0	28	2196	0	1	1	0
2658	1	1	1	0	0	28	2196	0	1	1	0
2659	1	1	1	0	0	28	2196	0	1	1	0
2660	1	1	1	0	0	28	2196	0	1	1	0
2661	1	1	1	0	0	28	2196	0	1	1	0
2662	1	1	1	0	0	28	2196	0	1	1	0
2663	1	1	1	0	0	28	2196	0	1	1	0
2664	1	1	1	0	0	28	2196	0	1	1	0
2665	1	1	1	0	0	28	2196	0	1	1	0
2666	1	1	1	0	0	28	2196	0	1	1	0
2667	1	1	1	0	0	28	2196	0	1	1	0
2668	1	1	1	0	0	28	2196	0	1	1	0
2669	1	1	1	0	0	28	2196	0	1	1	0
2670	1	1	1	0	0	28	2196	0	1	1	0
2671	1	1	1	0	0	28	2196	0	1	1	0
2672	1	1	1	0	0	28	2196	0	1	1	0
2673	1	1	1	0	0	28	2196	0	1	1	0
2674	1	1	1	0	0	28	2196	0	1	1	0
2675	1	1	1	0	0	28	2196	0	1	1	0
2676	1	1	1	0	0	28	2196	0	1	1	0
2677	1	1	1	0	0	28	2196	0	1	1	0
2678	1	1	1	0	0	28	2196	0	1	1	0
2679	1	1	1	0	0	28	2196	0	1	1	0
2680	1	1	1	0	0	28	2196	0	1	1	0
2681	1	1	1	0	0	28	2196	0	1	1	0
2682	1	1	1	0	0	28	2196	0	1	1	0
2683	1	1	1	0	0	28	2196	0	1	1	0
2684	1	1	1	0	0	28	2196	0	1	1	0
2685	1	1	1	0	0	28	2196	0	1	1	0
2686	1	1	1	0	0	28	2196	0	1	1	0
2687	1	1	1	0	0	28	2196	0	1	1	0
2688	1	1	1	0	0	28	2196	0	1	1	0
2689	1	1	1	0	0	28	2196	0	1	1	0
2690	1	1	1	0	0	28	2196	0	1	1	0
2691	1	1	1	0	0	28	2196	0	1	1	0
2692	1	1	1	0	0	28	2196	0	1	1	0
2693	1	1	1	0	0	28	2196	0	1	1	0
2694	1	1	1	0	0	28	2196	0	1	1	0
2697	1	1	1	0	0	28	2196	0	1	1	0
2698	1	1	1	0	0	28	2196	0	1	1	0
2699	1	1	1	0	0	28	2196	0	1	1	0
2700	1	1	1	0	0	28	2196	0	1	1	0
2701	1	1	1	0	0	28	2196	0	1	1	0
2704	1	1	1	0	0	28	2196	0	1	1	0
2705	1	1	1	0	0	28	2196	0	1	1	0
2706	1	1	1	0	0	28	2196	0	1	1	0
2707	1	1	1	0	0	28	2196	0	1	1	0
2708	1	1	1	0	0	28	2196	0	1	1	0
2710	1	1	1	0	0	28	2196	0	1	1	0
2712	1	1	1	0	0	28	2196	0	1	1	0
2713	1	1	1	0	0	28	2196	0	1	1	0
2714	1	1	1	0	0	28	2196	0	1	1	0
2716	1	1	1	0	0	28	2196	0	1	1	0
2717	1	1	1	0	0	28	2196	0	1	1	0
2719	1	1	1	0	0	28	2196	0	1	1	0
2723	1	1	1	0	0	28	2196	0	1	1	0
2724	1	1	1	0	0	28	2196	0	1	1	0
2725	1	1	1	0	0	28	2196	0	1	1	0
2731	1	1	1	0	0	28	2196	0	1	1	0
2732	1	1	1	0	0	28	2196	0	1	1	0
2734	1	1	1	0	0	28	2196	0	1	1	0
2739	1	1	1	0	0	28	2196	0	1	1	0
2741	1	1	1	0	0	28	2196	0	1	1	0
2743	1	1	1	0	0	28	2196	0	1	1	0
2746	1	1	1	0	0	28	2196	0	1	1	0
2750	1	1	1	0	0	28	2196	0	1	1	0
2751	1	1	1	0	0	28	2196	0	1	1	0
2752	1	1	1	0	0	28	2196	0	1	1	0
2754	1	1	1	0	0	28	2196	0	1	1	0
2757	1	1	1	0	0	28	2196	0	1	1	0
2758	1	1	1	0	0	28	2196	0	1	1	0
2760	1	1	1	0	0	28	2196	0	1	1	0
2762	1	1	1	0	0	28	2196	0	1	1	0
2763	1	1	1	0	0	28	2196	0	1	1	0
2766	1	1	1	0	0	28	2196	0	1	1	0
2770	1	1	1	0	0	28	2196	0	1	1	0
2771	1	1	1	0	0	28	2196	0	1	1	0
2773	1	1	1	0	0	28	2196	0	1	1	0
2780	1	1	1	0	0	28	2196	0	1	1	0
2781	1	1	1	0	0	28	2196	0	1	1	0
2786	1	1	1	0	0	28	2196	0	1	1	0
2788	1	1	1	0	0	28	2196	0	1	1	0
2789	1	1	1	0	0	28	2196	0	1	1	0
2790	1	1	1	0	0	28	2196	0	1	1	0
2791	1	1	1	0	0	28	2196	0	1	1	0
2816	1	1	1	0	0	28	2196	0	1	1	0
2817	1	1	1	0	0	28	2196	0	1	1	0
2818	1	1	1	0	0	28	2196	0	1	1	0
2820	1	1	1	0	0	28	2196	0	1	1	0
2823	1	1	1	0	0	28	2196	0	1	1	0
2824	1	1	1	0	0	28	2196	0	1	1	0
2825	1	1	1	0	0	28	2196	0	1	1	0
2827	1	1	1	0	0	28	2196	0	1	1	0
2828	1	1	1	0	0	28	2196	0	1	1	0
2832	1	1	1	0	0	28	2196	0	1	1	0
2833	1	1	1	0	0	28	2196	0	1	1	0
2834	1	1	1	0	0	28	2196	0	1	1	0
2835	1	1	1	0	0	28	2196	0	1	1	0
2837	1	1	1	0	0	28	2196	0	1	1	0
2839	1	1	1	0	0	28	2196	0	1	1	0
2840	1	1	1	0	0	28	2196	0	1	1	0
2841	1	1	1	0	0	28	2196	0	1	1	0
2844	1	1	1	0	0	28	2196	0	1	1	0
2847	1	1	1	0	0	28	2196	0	1	1	0
2851	1	1	1	0	0	28	2196	0	1	1	0
2869	1	1	1	0	0	28	2196	0	1	1	0
2883	1	1	1	0	0	28	2196	0	1	1	0
2914	1	1	1	0	0	28	2196	0	1	1	0
2916	1	1	1	0	0	28	2196	0	1	1	0
2917	1	1	1	0	0	28	2196	0	1	1	0
2924	1	1	1	0	0	28	2196	0	1	1	0
2926	1	1	1	0	0	28	2196	0	1	1	0
2927	1	1	1	0	0	28	2196	0	1	1	0
2930	1	1	1	0	0	28	2196	0	1	1	0
2932	1	1	1	0	0	28	2196	0	1	1	0
2933	1	1	1	0	0	28	2196	0	1	1	0
2934	1	1	1	0	0	28	2196	0	1	1	0
2938	1	1	1	0	0	28	2196	0	1	1	0
2939	1	1	1	0	0	28	2196	0	1	1	0
2940	1	1	1	0	0	28	2196	0	1	1	0
2941	1	1	1	0	0	28	2196	0	1	1	0
2943	1	1	1	0	0	28	2196	0	1	1	0
2945	1	1	1	0	0	28	2196	0	1	1	0
2946	1	1	1	0	0	28	2196	0	1	1	0
2947	1	1	1	0	0	28	2196	0	1	1	0
2948	1	1	1	0	0	28	2196	0	1	1	0
2949	1	1	1	0	0	28	2196	0	1	1	0
2950	1	1	1	0	0	28	2196	0	1	1	0
2951	1	1	1	0	0	28	2196	0	1	1	0
2952	1	1	1	0	0	28	2196	0	1	1	0
2953	1	1	1	0	0	28	2196	0	1	1	0
2954	1	1	1	0	0	28	2196	0	1	1	0
2955	1	1	1	0	0	28	2196	0	1	1	0
2959	1	1	1	0	0	28	2196	0	1	1	0
2962	1	1	1	0	0	28	2196	0	1	1	0
2969	1	1	1	0	0	28	2196	0	1	1	0
2970	1	1	1	0	0	28	2196	0	1	1	0
2971	1	1	1	0	0	28	2196	0	1	1	0
2972	1	1	1	0	0	28	2196	0	1	1	0
2975	1	1	1	0	0	28	2196	0	1	1	0
2976	1	1	1	0	0	28	2196	0	1	1	0
2977	1	1	1	0	0	28	2196	0	1	1	0
2978	1	1	1	0	0	28	2196	0	1	1	0
2979	1	1	1	0	0	28	2196	0	1	1	0
2980	1	1	1	0	0	28	2196	0	1	1	0
2982	1	1	1	0	0	28	2196	0	1	1	0
2984	1	1	1	0	0	28	2196	0	1	1	0
2985	1	1	1	0	0	28	2196	0	1	1	0
2986	1	1	1	0	0	28	2196	0	1	1	0
2987	1	1	1	0	0	28	2196	0	1	1	0
2988	1	1	1	0	0	28	2196	0	1	1	0
2991	1	1	1	0	0	28	2196	0	1	1	0
2992	1	1	1	0	0	28	2196	0	1	1	0
2994	1	1	1	0	0	28	2196	0	1	1	0
2996	1	1	1	0	0	28	2196	0	1	1	0
2997	1	1	1	0	0	28	2196	0	1	1	0
3001	1	1	1	0	0	28	2196	0	1	1	0
3002	1	1	1	0	0	28	2196	0	1	1	0
3003	1	1	1	0	0	28	2196	0	1	1	0
3004	1	1	1	0	0	28	2196	0	1	1	0
3005	1	1	1	0	0	28	2196	0	1	1	0
3007	1	1	1	0	0	28	2196	0	1	1	0
3008	1	1	1	0	0	28	2196	0	1	1	0
3009	1	1	1	0	0	28	2196	0	1	1	0
3010	1	1	1	0	0	28	2196	0	1	1	0
3011	1	1	1	0	0	28	2196	0	1	1	0
3012	1	1	1	0	0	28	2196	0	1	1	0
3013	1	1	1	0	0	28	2196	0	1	1	0
3014	1	1	1	0	0	28	2196	0	1	1	0
3015	1	1	1	0	0	28	2196	0	1	1	0
3016	1	1	1	0	0	28	2196	0	1	1	0
3017	1	1	1	0	0	28	2196	0	1	1	0
3030	1	1	1	0	0	28	2196	0	1	1	0
3031	1	1	1	0	0	28	2196	0	1	1	0
3046	1	1	1	0	0	28	2196	0	1	1	0
3047	1	1	1	0	0	28	2196	0	1	1	0
3048	1	1	1	0	0	28	2196	0	1	1	0
3049	1	1	1	0	0	28	2196	0	1	1	0
3050	1	1	1	0	0	28	2196	0	1	1	0
3051	1	1	1	0	0	28	2196	0	1	1	0
3054	1	1	1	0	0	28	2196	0	1	1	0
3055	1	1	1	0	0	28	2196	0	1	1	0
3056	1	1	1	0	0	28	2196	0	1	1	0
3057	1	1	1	0	0	28	2196	0	1	1	0
3058	1	1	1	0	0	28	2196	0	1	1	0
3059	1	1	1	0	0	28	2196	0	1	1	0
3060	1	1	1	0	0	28	2196	0	1	1	0
3061	1	1	1	0	0	28	2196	0	1	1	0
3063	1	1	1	0	0	28	2196	0	1	1	0
3064	1	1	1	0	0	28	2196	0	1	1	0
3065	1	1	1	0	0	28	2196	0	1	1	0
3066	1	1	1	0	0	28	2196	0	1	1	0
3067	1	1	1	0	0	28	2196	0	1	1	0
3068	1	1	1	0	0	28	2196	0	1	1	0
3069	1	1	1	0	0	28	2196	0	1	1	0
3070	1	1	1	0	0	28	2196	0	1	1	0
3073	1	1	1	0	0	28	2196	0	1	1	0
3074	1	1	1	0	0	28	2196	0	1	1	0
3075	1	1	1	0	0	28	2196	0	1	1	0
3076	1	1	1	0	0	28	2196	0	1	1	0
3077	1	1	1	0	0	28	2196	0	1	1	0
3078	1	1	1	0	0	28	2196	0	1	1	0
3080	1	1	1	0	0	28	2196	0	1	1	0
3081	1	1	1	0	0	28	2196	0	1	1	0
3082	1	1	1	0	0	28	2196	0	1	1	0
3083	1	1	1	0	0	28	2196	0	1	1	0
3084	1	1	1	0	0	28	2196	0	1	1	0
3085	1	1	1	0	0	28	2196	0	1	1	0
3086	1	1	1	0	0	28	2196	0	1	1	0
3087	1	1	1	0	0	28	2196	0	1	1	0
3088	1	1	1	0	0	28	2196	0	1	1	0
3089	1	1	1	0	0	28	2196	0	1	1	0
3090	1	1	1	0	0	28	2196	0	1	1	0
3091	1	1	1	0	0	28	2196	0	1	1	0
3092	1	1	1	0	0	28	2196	0	1	1	0
3093	1	1	1	0	0	28	2196	0	1	1	0
3094	1	1	1	0	0	28	2196	0	1	1	0
3095	1	1	1	0	0	28	2196	0	1	1	0
3096	1	1	1	0	0	28	2196	0	1	1	0
3097	1	1	1	0	0	28	2196	0	1	1	0
3098	1	1	1	0	0	28	2196	0	1	1	0
3099	1	1	1	0	0	28	2196	0	1	1	0
3100	1	1	1	0	0	28	2196	0	1	1	0
3101	1	1	1	0	0	28	2196	0	1	1	0
3102	1	1	1	0	0	28	2196	0	1	1	0
3103	1	1	1	0	0	28	2196	0	1	1	0
3111	1	1	1	0	0	28	2196	0	1	1	0
3116	1	1	1	0	0	28	2196	0	1	1	0
3117	1	1	1	0	0	28	2196	0	1	1	0
3118	1	1	1	0	0	28	2196	0	1	1	0
3119	1	1	1	0	0	28	2196	0	1	1	0
3132	1	1	1	0	0	28	2196	0	1	1	0
3133	1	1	1	0	0	28	2196	0	1	1	0
3134	1	1	1	0	0	28	2196	0	1	1	0
3135	1	1	1	0	0	28	2196	0	1	1	0
3148	1	1	1	0	0	28	2196	0	1	1	0
3149	1	1	1	0	0	28	2196	0	1	1	0
3151	1	1	1	0	0	28	2196	0	1	1	0
3152	1	1	1	0	0	28	2196	0	1	1	0
3153	1	1	1	0	0	28	2196	0	1	1	0
3154	1	1	1	0	0	28	2196	0	1	1	0
3155	1	1	1	0	0	28	2196	0	1	1	0
3156	1	1	1	0	0	28	2196	0	1	1	0
3157	1	1	1	0	0	28	2196	0	1	1	0
3158	1	1	1	0	0	28	2196	0	1	1	0
3159	1	1	1	0	0	28	2196	0	1	1	0
3160	1	1	1	0	0	28	2196	0	1	1	0
